Test group name,Sample name,Length,Width,Thickness,Speed (%/min),Force cell,Données brutes,,
,,(mm),(mm),(mm),(%),(N),,,
20240523_test_1,,0,0,0,0,100,VRAI,,
,,,,,,,,,
Tableau de résultats 1,,,,,,,,,
,Sample name,Length,Speed (%/min),Thickness,Width,Waiting time,Initial length between the clamps,Date de début,Déformation 1 longueur initiale
,,(mm),(%),(mm),(mm),(s),(mm),,(mm)
1,rtv_1mm,4.77,60,1,4,0,45,23/05/2024,4.77
,,,,,,,,,
Tableau de résultats 2,,,,,,,,,
,Sample name,Thickness,Length,Initiql length between the clamps,Speed (%/min),Initial length between the clamps,Waiting time,Date de début,
,,(mm),(mm),(mm),(%),(mm),(s),,
1,rtv_1mm,1,4,4.77,60,45,0,23/05/2024,
,,,,,,,,,
Time (s),Displacement (mm),Shifted displacement 10.89 (mm),Force (N),Strain AS (%),Stress AS (kPa),Nombre total de cycles,Nombre de cycles,Extenso strain (%),
1.36,12.5194,23.4094,0.0699,-452.6324,17.4846,0,0,1.0591,
1.38,12.53,23.42,0.0711,-452.4117,17.7865,0,0,1.0778,
1.4,12.5406,23.4306,0.0733,-452.189,18.3237,0,0,1.1077,
1.42,12.5512,23.4412,0.0746,-451.9665,18.6378,0,0,1.1353,
1.44,12.5616,23.4516,0.0756,-451.7485,18.911,0,0,1.1593,
1.46,12.5718,23.4618,0.0761,-451.5336,19.036,0,0,1.1829,
1.48,12.5818,23.4718,0.0769,-451.3245,19.2266,0,0,1.2179,
1.5,12.5915,23.4815,0.0783,-451.1209,19.5823,0,0,1.2514,
1.52,12.6009,23.4909,0.0811,-450.9243,20.2703,0,0,1.2763,
1.54,12.6106,23.5006,0.0824,-450.7221,20.6124,0,0,1.2972,
1.56,12.6204,23.5104,0.0841,-450.5154,21.0243,0,0,1.3129,
1.58,12.6304,23.5204,0.085,-450.3071,21.2459,0,0,1.3321,
1.6,12.64,23.53,0.0853,-450.1049,21.3368,0,0,1.36,
1.62,12.6495,23.5395,0.0867,-449.9055,21.6642,0,0,1.386,
1.64,12.659,23.549,0.0882,-449.707,22.0439,0,0,1.4073,
1.66,12.6687,23.5587,0.0899,-449.5039,22.487,0,0,1.4271,
1.68,12.6787,23.5687,0.0912,-449.2942,22.7949,0,0,1.4455,
1.7,12.6889,23.5789,0.0926,-449.0803,23.1413,0,0,1.4637,
1.72,12.6991,23.5891,0.0938,-448.8657,23.4617,0,0,1.4846,
1.74,12.7094,23.5994,0.0951,-448.6499,23.7709,0,0,1.5083,
1.76,12.7196,23.6096,0.0956,-448.4352,23.902,0,0,1.5323,
1.78,12.7299,23.6199,0.0975,-448.2209,24.3774,0,0,1.5568,
1.8,12.7402,23.6302,0.0983,-448.005,24.5825,0,0,1.5805,
1.82,12.7503,23.6403,0.0999,-447.7924,24.9626,0,0,1.6046,
1.84,12.7601,23.6501,0.1016,-447.5865,25.4014,0,0,1.6292,
1.86,12.7698,23.6598,0.1035,-447.3833,25.8773,0,0,1.6522,
1.88,12.7795,23.6695,0.1048,-447.1794,26.207,0,0,1.6743,
1.9,12.7893,23.6793,0.106,-446.9752,26.4991,0,0,1.6977,
1.92,12.7992,23.6892,0.1062,-446.7663,26.5433,0,0,1.7223,
1.94,12.809,23.699,0.1072,-446.5616,26.8053,0,0,1.7482,
1.96,12.8185,23.7085,0.1084,-446.363,27.1088,0,0,1.7749,
1.98,12.8276,23.7176,0.1102,-446.1713,27.5512,0,0,1.7993,
2,12.8369,23.7269,0.112,-445.9772,28.0019,0,0,1.8204,
2.02,12.8462,23.7362,0.1131,-445.7817,28.28,0,0,1.8415,
2.04,12.8557,23.7457,0.1141,-445.5818,28.5292,0,0,1.8642,
2.06,12.8652,23.7552,0.1148,-445.3834,28.7064,0,0,1.8868,
2.08,12.8744,23.7644,0.1158,-445.1899,28.9495,0,0,1.9071,
2.1,12.8835,23.7735,0.1164,-445.0006,29.108,0,0,1.9271,
2.12,12.8924,23.7824,0.1185,-444.8137,29.6276,0,0,1.9462,
2.14,12.9015,23.7915,0.1197,-444.6218,29.9266,0,0,1.9648,
2.16,12.9108,23.8008,0.1211,-444.4272,30.2732,0,0,1.9827,
2.18,12.9205,23.8105,0.1218,-444.2238,30.451,0,0,2.0038,
2.2,12.9303,23.8203,0.1234,-444.0198,30.8423,0,0,2.0264,
2.22,12.9399,23.8299,0.124,-443.8171,30.9955,0,0,2.0475,
2.24,12.9494,23.8394,0.1252,-443.618,31.2981,0,0,2.0685,
2.26,12.959,23.8489,0.1261,-443.4182,31.5135,0,0,2.0893,
2.28,12.9685,23.8585,0.1277,-443.2175,31.9187,0,0,2.1084,
2.3,12.9784,23.8684,0.1293,-443.0114,32.3191,0,0,2.1287,
2.32,12.9884,23.8784,0.1307,-442.8014,32.6821,0,0,2.1488,
2.34,12.9984,23.8884,0.1321,-442.5919,33.0353,0,0,2.1682,
2.36,13.0083,23.8983,0.1333,-442.3836,33.3185,0,0,2.1891,
2.38,13.0183,23.9083,0.1341,-442.1735,33.532,0,0,2.211,
2.4,13.0284,23.9184,0.1352,-441.9623,33.8086,0,0,2.234,
2.42,13.0384,23.9284,0.1366,-441.7523,34.1514,0,0,2.2567,
2.44,13.0485,23.9385,0.1379,-441.5401,34.4823,0,0,2.279,
2.46,13.0586,23.9486,0.1394,-441.3298,34.8396,0,0,2.3034,
2.48,13.0683,23.9583,0.1402,-441.1251,35.0417,0,0,2.3284,
2.5,13.0778,23.9678,0.1424,-440.9267,35.6052,0,0,2.3516,
2.52,13.0873,23.9773,0.1427,-440.7265,35.6676,0,0,2.3741,
2.54,13.0968,23.9868,0.1439,-440.5276,35.9711,0,0,2.3956,
2.56,13.1065,23.9965,0.1449,-440.3256,36.2169,0,0,2.4167,
2.58,13.116,24.006,0.1463,-440.1254,36.5723,0,0,2.4383,
2.6,13.1254,24.0154,0.1477,-439.929,36.9227,0,0,2.4585,
2.62,13.1345,24.0245,0.1492,-439.7388,37.3069,0,0,2.48,
2.64,13.1435,24.0335,0.1502,-439.5492,37.5559,0,0,2.5039,
2.66,13.1525,24.0425,0.1514,-439.3596,37.8582,0,0,2.5263,
2.68,13.1615,24.0515,0.1526,-439.1714,38.1425,0,0,2.5483,
2.7,13.1707,24.0607,0.1532,-438.9797,38.3082,0,0,2.5699,
2.72,13.1798,24.0698,0.1541,-438.7891,38.5337,0,0,2.5907,
2.74,13.1887,24.0787,0.1552,-438.6013,38.7924,0,0,2.6116,
2.76,13.1974,24.0874,0.1577,-438.4201,39.4341,0,0,2.6305,
2.78,13.2061,24.0961,0.159,-438.2366,39.7575,0,0,2.6501,
2.8,13.2149,24.1049,0.1601,-438.0529,40.0182,0,0,2.6723,
2.82,13.2235,24.1135,0.1607,-437.8717,40.1771,0,0,2.6939,
2.84,13.2324,24.1224,0.1613,-437.686,40.3255,0,0,2.7136,
2.86,13.2412,24.1312,0.1616,-437.5008,40.3915,0,0,2.7314,
2.88,13.25,24.14,0.1632,-437.3167,40.8067,0,0,2.7481,
2.9,13.2587,24.1487,0.1645,-437.1345,41.13,0,0,2.7669,
2.92,13.2676,24.1576,0.1661,-436.947,41.5265,0,0,2.7871,
2.94,13.2768,24.1668,0.167,-436.7552,41.7553,0,0,2.8056,
2.96,13.286,24.176,0.1691,-436.5617,42.2683,0,0,2.8241,
2.98,13.2955,24.1855,0.169,-436.3626,42.2455,0,0,2.843,
3,13.3051,24.1951,0.1699,-436.162,42.4652,0,0,2.8629,
3.02,13.3146,24.2046,0.1713,-435.9622,42.827,0,0,2.886,
3.04,13.3239,24.2139,0.1728,-435.7666,43.209,0,0,2.9098,
3.06,13.3333,24.2233,0.1738,-435.5695,43.4549,0,0,2.9341,
3.08,13.3426,24.2326,0.1752,-435.3762,43.8068,0,0,2.9595,
3.1,13.3518,24.2418,0.1767,-435.1827,44.1813,0,0,2.983,
3.12,13.3608,24.2508,0.1774,-434.9927,44.3602,0,0,3.0057,
3.14,13.3696,24.2596,0.1782,-434.809,44.5544,0,0,3.0284,
3.16,13.378,24.268,0.1789,-434.6321,44.7256,0,0,3.0506,
3.18,13.3861,24.2761,0.18,-434.4624,45.0109,0,0,3.0722,
3.2,13.3944,24.2844,0.1811,-434.29,45.2778,0,0,3.0936,
3.22,13.4026,24.2926,0.1832,-434.1173,45.8035,0,0,3.1135,
3.24,13.411,24.301,0.1843,-433.9414,46.0843,0,0,3.1322,
3.26,13.4197,24.3097,0.1854,-433.759,46.3463,0,0,3.1511,
3.28,13.4284,24.3184,0.186,-433.5768,46.5124,0,0,3.1702,
3.3,13.4371,24.3271,0.1866,-433.3951,46.6599,0,0,3.1908,
3.32,13.4455,24.3355,0.1877,-433.2187,46.9305,0,0,3.2114,
3.34,13.454,24.344,0.189,-433.0401,47.2466,0,0,3.2302,
3.36,13.4626,24.3526,0.1901,-432.8591,47.5287,0,0,3.2476,
3.38,13.4713,24.3613,0.192,-432.6773,48.0007,0,0,3.2659,
3.4,13.4802,24.3702,0.1925,-432.4908,48.133,0,0,3.2844,
3.42,13.489,24.379,0.1935,-432.3053,48.3738,0,0,3.3046,
3.44,13.4978,24.3878,0.1938,-432.1226,48.4507,0,0,3.3261,
3.46,13.5062,24.3962,0.1947,-431.9465,48.68,0,0,3.3464,
3.48,13.5145,24.4045,0.1962,-431.7712,49.0546,0,0,3.3664,
3.5,13.5231,24.4131,0.1974,-431.5916,49.3578,0,0,3.3867,
3.52,13.5316,24.4216,0.1986,-431.4128,49.6487,0,0,3.4089,
3.54,13.5403,24.4303,0.1994,-431.2313,49.8547,0,0,3.4323,
3.56,13.5487,24.4387,0.2012,-431.054,50.2879,0,0,3.4566,
3.58,13.5569,24.4469,0.2018,-430.8825,50.4503,0,0,3.481,
3.6,13.5647,24.4547,0.202,-430.7186,50.5014,0,0,3.504,
3.62,13.5722,24.4622,0.2029,-430.5614,50.7348,0,0,3.5279,
3.64,13.5799,24.4699,0.2038,-430.4013,50.9453,0,0,3.5515,
3.66,13.5874,24.4774,0.205,-430.2432,51.2392,0,0,3.5737,
3.68,13.5948,24.4848,0.2071,-430.0872,51.7784,0,0,3.593,
3.7,13.6025,24.4925,0.2076,-429.9267,51.9013,0,0,3.6124,
3.72,13.61,24.5,0.2082,-429.7699,52.0461,0,0,3.6328,
3.74,13.6172,24.5072,0.2088,-429.6182,52.1982,0,0,3.6545,
3.76,13.6243,24.5143,0.2093,-429.4695,52.33,0,0,3.6766,
3.78,13.6311,24.5211,0.2104,-429.3265,52.5994,0,0,3.6965,
3.8,13.638,24.528,0.2117,-429.1818,52.9349,0,0,3.7151,
3.82,13.6452,24.5352,0.2128,-429.0319,53.2046,0,0,3.7339,
3.84,13.6522,24.5422,0.214,-428.8841,53.5015,0,0,3.7512,
3.86,13.6595,24.5495,0.215,-428.731,53.7453,0,0,3.7694,
